"OrdarId","Year","Month","VentaTotal"
646,"2012","01",167.58
998,"2012","01",251.84
3042,"2012","01",110.76
3332,"2012","01",19.56
3492,"2012","01",8864.56
3585,"2012","01",328.74
4931,"2012","01",5174.29
5511,"2012","01",2230.36
5856,"2012","01",9701.16
5920,"2012","01",620.24
6211,"2012","01",124.62
7744,"2012","01",4505.38
8103,"2012","01",466.72
9057,"2012","01",151.8
9126,"2012","01",2916.35
10183,"2012","01",1247.04
10309,"2012","01",482.54
10562,"2012","01",959.9
10884,"2012","01",3023.76
11332,"2012","01",1733.71
11584,"2012","01",1727.52
11909,"2012","01",230.89
12258,"2012","01",3097.65
12706,"2012","01",2674.44
13091,"2012","01",871.02
14336,"2012","01",159.96
15074,"2012","01",956.88
15105,"2012","01",478.92
15139,"2012","01",5809
16679,"2012","01",7075.42
17282,"2012","01",1079.29
17668,"2012","01",10757.91
18178,"2012","01",369.34
18247,"2012","01",151.8
18533,"2012","01",453.32
19521,"2012","01",319.32
19943,"2012","01",1991.84
20263,"2012","01",1170.91
20710,"2012","01",253.24
21314,"2012","01",4378.6
21445,"2012","01",464.91
21922,"2012","01",8784.85
22407,"2012","01",1332.3
22885,"2012","01",51.52
23971,"2012","01",59.85
24003,"2012","01",1490.54
24614,"2012","01",1682.34
25926,"2012","01",4703.21
26337,"2012","01",166.05
26374,"2012","01",104.95
26944,"2012","01",443.88
27463,"2012","01",836.58
28259,"2012","01",241.34
28389,"2012","01",7513.4
28419,"2012","01",121.32
28583,"2012","01",5599.5
30726,"2012","01",709.45
31873,"2012","01",13547.06
32195,"2012","01",81.06
32291,"2012","01",229.43
32675,"2012","01",6989
32710,"2012","01",534.92
33189,"2012","01",132.74
34689,"2012","01",608.76
34788,"2012","01",23.92
34883,"2012","01",1115.69
36416,"2012","01",417.6
36707,"2012","01",177.66
36896,"2012","01",4584.57
37025,"2012","01",646.76
37731,"2012","01",837.27
37793,"2012","01",222.4
37924,"2012","01",8472.59
38371,"2012","01",1994.4
38564,"2012","01",11443.06
38852,"2012","01",149.5
38947,"2012","01",291.6
39717,"2012","01",871.4
40261,"2012","01",402.6
40835,"2012","01",969.26
40965,"2012","01",10728.91
41415,"2012","01",76.4
42144,"2012","01",646.5
42338,"2012","01",2169.64
44231,"2012","01",5327.68
46052,"2012","01",3059.2
46151,"2012","01",197.8
46848,"2012","01",3721.77
47943,"2012","01",824.04
48198,"2012","01",5804.88
48295,"2012","01",9796.8
48710,"2012","01",27.92
49504,"2012","01",331.65
50081,"2012","01",496.86
50336,"2012","01",51.93
51392,"2012","01",263.1
52035,"2012","01",20299.71
53508,"2012","01",1462.65
55045,"2012","01",649.6
55490,"2012","01",212.67
55554,"2012","01",353.76
55875,"2012","01",564.88
55906,"2012","01",2665.32
56608,"2012","01",43.47
56706,"2012","01",699.93
57061,"2012","01",561.12
57409,"2012","01",7104.64
59396,"2012","01",6251.68
807,"2013","01",319
1792,"2013","01",377.44
1831,"2013","01",12242.34
1953,"2013","01",141.83
2048,"2013","01",4084.17
2563,"2013","01",228.66
2752,"2013","01",1851.88
2759,"2013","01",774.5
4034,"2013","01",8900.14
4580,"2013","01",7867.44
4675,"2013","01",15.92
5059,"2013","01",27.2
5189,"2013","01",2881.58
5506,"2013","01",129.36
5863,"2013","01",919.2
5988,"2013","01",19999.6
7363,"2013","01",910.32
8001,"2013","01",1018.76
8582,"2013","01",1580.1
8834,"2013","01",6806.74
8992,"2013","01",4714.11
9091,"2013","01",1965.4
9957,"2013","01",70.68
10117,"2013","01",4553
10209,"2013","01",888.52
10499,"2013","01",7601.19
11427,"2013","01",187.07
11911,"2013","01",380.5
12097,"2013","01",2194.57
13348,"2013","01",4929.75
13607,"2013","01",834.75
13799,"2013","01",111.15
13895,"2013","01",617.32
14499,"2013","01",587.16
14789,"2013","01",508.95
15015,"2013","01",293.28
15078,"2013","01",190.74
15206,"2013","01",5284.3
15878,"2013","01",262.08
19430,"2013","01",6523.53
19974,"2013","01",4187.5
20193,"2013","01",80.96
20900,"2013","01",2299.5
21863,"2013","01",219.42
22404,"2013","01",7632.8
22498,"2013","01",34
22887,"2013","01",9390.8
23271,"2013","01",808.49
23366,"2013","01",396.74
23680,"2013","01",2565.12
24102,"2013","01",1888
24128,"2013","01",8713.31
25092,"2013","01",389.85
25828,"2013","01",9301.11
26630,"2013","01",58.32
26631,"2013","01",221.26
27047,"2013","01",15162.39
27335,"2013","01",61.18
27527,"2013","01",384.8
27681,"2013","01",217.26
28802,"2013","01",5238.43
29382,"2013","01",917.88
30754,"2013","01",4187.4
30917,"2013","01",860.92
31072,"2013","01",691.96
31718,"2013","01",2903.56
32135,"2013","01",1671.1
32228,"2013","01",204.4
33123,"2013","01",6190.18
33152,"2013","01",2963.81
33889,"2013","01",8971.67
34658,"2013","01",2704.02
34721,"2013","01",470.58
34816,"2013","01",3831.73
35265,"2013","01",684.26
35910,"2013","01",1925.36
36134,"2013","01",935.94
37216,"2013","01",503.52
37603,"2013","01",3298.87
37957,"2013","01",211.11
38625,"2013","01",2871.48
38789,"2013","01",191.72
38917,"2013","01",725.89
39139,"2013","01",10167.98
39393,"2013","01",218.27
39682,"2013","01",2385.64
40775,"2013","01",289.34
41186,"2013","01",819.81
41632,"2013","01",1903.66
41633,"2013","01",3566.71
41861,"2013","01",479.52
43585,"2013","01",1054.12
43745,"2013","01",5547.13
43782,"2013","01",182.25
44359,"2013","01",115.52
44935,"2013","01",9281.52
45088,"2013","01",1763.91
45190,"2013","01",1962.74
45249,"2013","01",1343.76
47873,"2013","01",47.12
48165,"2013","01",181.44
48195,"2013","01",8420.83
49767,"2013","01",6220.79
50663,"2013","01",1585.48
50725,"2013","01",3074.79
51075,"2013","01",1547.57
51426,"2013","01",341.53
52128,"2013","01",10.89
52256,"2013","01",1517.77
52737,"2013","01",107.52
52807,"2013","01",615.44
54274,"2013","01",1573
55014,"2013","01",222.3
55653,"2013","01",17033.32
56135,"2013","01",1214.72
